Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EP,Empire Petroleum Corporation Common Stock,$12.26,-0.60,-4.666%,270897634.00,United States,2022,27817,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.81,0.14,2.099%,229614813.00,United States,,172535,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$3.89,0.07,1.832%,1186671049.00,Canada,,1018947,,
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.86,0.02,0.203%,276546496.00,United States,2003,55771,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$10.68,0.15,1.425%,99241305.00,,2004,10944,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$19.8509,-0.139,-0.695%,53649697.00,United States,1960,6817,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$2.27,-0.01,-0.439%,271568785.00,,2023,192314,,
EVBN,Evans Bancorp Inc. Common Stock,$38.60,-0.07,-0.181%,209870053.00,United States,,4866,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$19.99,0.04,0.201%,251200777.00,United States,1999,23364,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.78,0.10,1.152%,216628404.00,United States,2002,52400,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.21,0.13,1.29%,1186437327.00,United States,2003,359951,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.73,0.01,0.368%,676209449.00,United States,1986,801931,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.5301,-0.0399,-0.716%,62324974.00,United States,1992,62811,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$13.84,0.10,0.728%,269377899.00,United States,2004,36449,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$2.21,-0.03,-1.339%,43027924.00,United States,,51112,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,$10.26,0.00,0.00%,101348526.00,,2021,5,Industrials,Consumer Electronics/Appliances
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.6399,-0.0551,-7.928%,17615851.00,,2022,1415789,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$12.49,0.24,1.959%,92121094.00,United States,1975,19689,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.10,0.01,0.324%,38521406.00,Canada,2002,10564,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$2.42,0.04,1.681%,249830912.00,United States,,1187820,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.435,0.035,0.547%,260008582.00,United States,2003,162748,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.6125,0.0063,1.039%,85425957.00,,2020,58089,,
GAU,Galiano Gold Inc.,$0.519,-0.0038,-0.727%,116745652.00,Canada,,109904,,
GBR,New Concept Energy Inc Common Stock,$1.255,0.015,1.21%,6440577.00,United States,1993,2454,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$14.45,0.20,1.404%,211803794.00,United States,,22530,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.69,-0.01,-0.27%,568844197.00,United States,2005,406599,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.55,0.156,0.697%,,United States,,3813,,
GLDG,GoldMining Inc. Common Shares,$1.05,-0.01,-0.943%,174559546.00,,,361845,,
GLO,Clough Global Opportunities Fund Common Stock,$4.93,0.06,1.232%,214680409.00,United States,2006,345534,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.09,0.095,1.585%,116468942.00,United States,2005,97312,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.35,0.00,0.00%,185976563.00,,2021,1,Consumer Discretionary,Rental/Leasing Companies
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.66,0.21,1.453%,87504235.00,United States,2004,17643,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$49.84,0.0679,0.136%,,United States,,4287,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$6.05,0.10,1.681%,76892977.00,United States,2004,60198,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$3.63,1.35,59.211%,89627107.00,,2022,62993268,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.9838,0.026,2.715%,86966060.00,United States,,933664,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.3601,0.0145,0.174%,32830639.00,United States,,2354,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.72,0.00,0.00%,58776103.00,,2022,19752,,
GROY,Gold Royalty Corp. Common Shares,$2.17,-0.07,-3.125%,312291360.00,,2021,321880,,
GSAT,Globalstar Inc. Common Stock,$1.25,0.06,5.042%,2251250000.00,United States,2006,3259937,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$0.87,0.03,3.571%,301151507.00,Canada,,6626700,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.40,0.00,0.00%,120965000.00,,2022,10,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$10.56,0.08,0.763%,88015055.00,United States,2007,14429,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$3.25,0.05,1.563%,32267099.00,United States,,179354,Energy,Oil & Gas Production
